analysis	[ 5.04354825  0.28594548 -2.50809014  2.15986694  3.1805667   3.13969823]
analysis	[ 4.52357059  0.32056007 -3.17007745  1.31581703  3.18802115  2.52889002]
analysis	[ 4.60513741 -0.35505536 -2.13102325  2.35654333  2.96656837  2.95544052]
analysis	[ 5.66367396  0.59918309 -2.12737207  1.27644137  2.89982998  2.77166666]
analysis	[ 4.88288923 -0.14924884 -2.09124842  2.65588492  3.18982744  3.18341739]
analysis	[ 5.94864993  0.70085237 -2.60421491 -2.47743618 -2.96390396]
analysis	[ 5.48855615 -0.29519087 -2.36278215 -0.81967972 -1.5372852 ]
analysis	[ 4.22779989 -0.10867341 -3.42930591 -2.35348226 -2.4665662 ]
analysis	[ 4.90011674 -0.25403255 -2.18082729 -1.35817417 -1.43751851]
analysis	[ 4.25450119 -0.81158177 -2.0891545  -0.93805029 -1.03311462]
analysis	[ 4.92507493 -0.37432751 -2.11500113 -0.93500795 -1.12139089]
analysis	[ 4.28985746 -0.8054883  -2.07322015 -1.28313121 -1.3468039 ]
analysis	[ 4.21964376 -0.91769436 -2.06316111 -1.36548394 -1.45435183]
analysis	[ 3.60057424 -1.46275434 -2.11563455 -2.13963355 -1.93341567]
analysis	[ 5.02134375  0.0289385  -2.09793261 -1.443458   -1.88296825]
analysis	[ 3.82415877 -1.12033816 -2.13545956 -1.70181275 -1.22031122]
analysis	[ 4.45976725 -0.60935449 -2.09910696 -1.37054507 -2.17943685]
analysis	[ 4.24685378 -0.74305368 -2.09818043 -1.35513218 -1.10409628]
analysis	[ 4.49877784 -0.49156559 -2.09793911 -1.29356781 -1.36927144]
analysis	[ 5.40257321  0.41770434 -2.10366799 -1.07784098 -2.29289351]
analysis	[ 4.01552651 -0.9385637  -2.1258062  -1.58288198 -2.47116644]
analysis	[ 5.09075144  0.10687063 -2.10506009 -1.23663955 -1.94171866]
analysis	[ 4.57752804 -0.40825502 -2.10287454 -1.31827255 -1.42459444]
analysis	[ 4.80276843 -0.18039294 -2.10566499 -1.30015589 -1.64628271]
analysis	[ 3.80803636 -1.14024799 -2.12832175 -1.71950891 -0.81263322]
analysis	[ 4.32941419 -0.64847709 -2.10254444 -1.23343385 -1.18883114]
analysis	[ 4.3643474  -0.61249286 -2.10451769 -3.11129522]
analysis	[ 5.08194673  0.20069713 -2.22986934  0.99330608]
analysis	[ 4.92285312 -0.06496317 -2.09617782  0.04546532]
analysis	[ 5.04969799  0.0435444  -2.07613508 -0.02625824]
analysis	[ 5.02932563  0.04371389 -2.09852913 -1.21424222 -0.06511768]
analysis	[ 5.48267888  0.49526379 -2.09673643 -1.17928263 -0.49928247]
analysis	[ 4.48568296 -0.51824242 -2.07623787 -1.29708632  0.49133804]
