analysis	[ 5.04354825  0.28594548 -2.50809014  2.15986694  3.1805667   3.13969823]
analysis	[ 4.52357059  0.32056007 -3.17007745  1.31581703  3.18802115  2.52889002]
analysis	[ 4.60513741 -0.35505536 -2.13102325  2.35654333  2.96656837  2.95544052]
analysis	[ 5.66367396  0.59918309 -2.12737207  1.27644137  2.89982998  2.77166666]
analysis	[ 4.88288923 -0.14924884 -2.09124842  2.65588492  3.18982744  3.18341739]
analysis	[ 5.94864993  0.70085237 -2.60421491 -2.47743618 -2.96390396]
analysis	[ 5.48855615 -0.29519087 -2.36278215 -0.81967972 -1.5372852 ]
analysis	[ 4.22779989 -0.10867341 -3.42930591 -2.35348226 -2.4665662 ]
analysis	[ 4.94374257 -0.48002036 -2.12936592 -0.94230391 -1.21416843]
analysis	[ 4.41956065 -0.63119861 -2.14717113 -1.3945305  -1.45127757]
