analysis	[ 5.45307287  0.50494867 -2.27806087  2.26715397]
analysis	[ 5.06907435  0.12603597 -2.14208269  1.84537976]
analysis	[ 5.01771312  0.16141834 -2.23859477  1.78019476]
analysis	[ 5.27630043 -0.32852588 -1.47219479  2.72477222  3.17386492  3.16734669]
analysis	[ 5.35239908  0.43950829 -2.16338227  1.8505731   2.56603711  3.12787654]
analysis	[ 5.32136554  0.46440604 -2.32368795  2.57111093  2.90304164  2.70477696]
analysis	[ 5.30561678  0.30832363 -2.09514691  1.74824115  2.69777276  3.04309557]
analysis	[ 5.10407735 -0.22225441 -1.54742893  2.63318324  2.56243056  2.66683873]
analysis	[ 5.46614067  0.41970885 -2.07238645  2.90727282  2.68054189  2.76727753]
analysis	[5.32016332]
analysis	[5.31093601]
analysis	[ 4.5560121   0.04195987 -2.61769523  1.82193051  2.7940834   2.90880472]
analysis	[ 5.66156113  0.61139402 -2.07068174  2.52312337  3.00474966  3.02356666]
analysis	[ 4.84445853 -0.41277785 -1.83526597  2.46828805  2.98008188  2.53383694]
analysis	[ 5.12845495  0.13306896 -2.08193072  2.56111206  2.74383193  2.74970312]
analysis	[ 4.78578412 -0.18800356 -2.0997324   2.30965594  2.71268372  2.74211284]
