5.043548247274831	0.2859454843651792	-2.5080901409663943	2.159866940808026	3.180566695489504	3.1396982341825708	1163.5270559785474
4.523570590553705	0.3205600657083198	-3.1700774479092058	1.3158170288825013	3.188021153759391	2.528890024890814	1276.3512860984652
4.605137407566538	-0.3550553552498677	-2.1310232543993184	2.3565433265788	2.9665683679264596	2.9554405226898046	793.8181437990933
5.663673961481077	0.5991830864195281	-2.1273720706313193	1.2764413682912028	2.8998299803594842	2.7716666592940715	771.2258484888421
4.882889227827497	-0.14924883865790955	-2.091248419834949	2.6558849182283195	3.189827436504974	3.183417389060109	561.7418221960589
5.948650	0.700852	-2.604215	-2.477436	-2.963904	1212.255216
5.488556	-0.295191	-2.362782	-0.819680	-1.537285	1214.873186
4.227800	-0.108673	-3.429306	-2.353482	-2.466566	1341.083148
4.900117	-0.254033	-2.180827	-1.358174	-1.437519	868.411181
4.254501	-0.811582	-2.089155	-0.938050	-1.033115	898.566319
4.925075	-0.374328	-2.115001	-0.935008	-1.121391	814.207756
4.289857	-0.805488	-2.073220	-1.283131	-1.346804	777.656813
4.219644	-0.917694	-2.063161	-1.365484	-1.454352	759.847115
3.600574	-1.462754	-2.115635	-2.139634	-1.933416	990.454121
5.021344	0.028939	-2.097933	-1.443458	-1.882968	763.059537
3.824159	-1.120338	-2.135460	-1.701813	-1.220311	873.591303
4.459767	-0.609354	-2.099107	-1.370545	-2.179437	826.074857
4.246854	-0.743054	-2.098180	-1.355132	-1.104096	837.995813
4.498778	-0.491566	-2.097939	-1.293568	-1.369271	832.732409
5.402573	0.417704	-2.103668	-1.077841	-2.292894	828.257758
4.015527	-0.938564	-2.125806	-1.582882	-2.471166	852.397273
5.090751	0.106871	-2.105060	-1.236640	-1.941719	824.558662
4.577528	-0.408255	-2.102875	-1.318273	-1.424594	826.729554
4.802768	-0.180393	-2.105665	-1.300156	-1.646283	823.858243
3.808036	-1.140248	-2.128322	-1.719509	-0.812633	874.086692
4.329414	-0.648477	-2.102544	-1.233434	-1.188831	834.325890
4.364347	-0.612493	-2.104518	-1.221849	-3.111295	833.394882
5.081947	0.200697	-2.229869	-1.221849	0.993306	1051.355585
4.922853	-0.064963	-2.096178	-1.221849	0.045465	802.289232
5.049698	0.043544	-2.076135	-1.096910	-0.026258	832.734929
5.029326	0.043714	-2.098529	-1.214242	-0.065118	801.768689
5.482679	0.495264	-2.096736	-1.179283	-0.499282	798.813770
4.485683	-0.518242	-2.076238	-1.297086	0.491338	802.250727
